,Ticker,Tipo,Nome,DataCompra,ValorAreaBrutaLocavel,Estado,Cidade,Endereco,GoogleMapsLink,PercentualPartic,PecentualVacancia,PercentualInadimplencia90Dias,PercentualFii,Latitude,Longitude
0,ABCP11,Shopping Tradicional,Grand Plaza Shopping,30-05-2009T21:00:00,69503.0,SP,Santo André,"Avenida Industrial , 600","https://www.google.com/maps/@-23.6498911,-46.5327363,3a,75y,54.09h,87.44t/data=!3m4!1e1!3m2!1s_L4faFEwTmrhhVr2bpoYpw!2e0?hl=pt-BR",98.6,14.43,4.5,97.75,-23.6498911,-46.5327363
0,AIEC11,Prédio Corporativo,Rochavera,,14648.0,SP,São Paulo,"Avenida das Nações Unidas, 14.171","https://www.google.com/maps/place/Regus+-+Sao+Paulo+Rochavera+-+Morumbi/@-23.6224119,-46.7016056,3a,75y,131.13h,80.92t/data=!3m6!1e1!3m4!1sQ2q2d-BsEZHeWuAlzf1usQ!2e0!7i16384!8i8192!4m11!1m2!2m1!1sRochavera+-+Torre+D!3m7!1s0x94ce50dca0b131df:0xa621ccef8eabe7bf!8m2!3d-23.6219989!4d-46.7011824!14m1!1BCgIgARICCAI!15sChNSb2NoYXZlcmEgLSBUb3JyZSBEWhMiEXJvY2hhdmVyYSB0b3JyZSBkkgEab2ZmaWNlX3NwYWNlX3JlbnRhbF9hZ2VuY3maASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTjNlbkl6ZEZsM0VBRQ",0.0,0.0,0.0,69.42,-23.6224119,-46.7016056
1,AIEC11,Outros,Standard Building,,8341.0,RJ,Rio de Janeiro,"Avenida Presidente Wilson, 118","https://www.google.com/maps/place/Av.+Pres.+Wilson,+118+-+Centro,+Rio+de+Janeiro+-+RJ,+20030-020/@-22.9122315,-43.1739865,3a,90y,134.43h,94.87t/data=!3m7!1e1!3m5!1s_1Ki9OT1tCP5jh4zmeT-xg!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3D_1Ki9OT1tCP5jh4zmeT-xg%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D145.2263%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m5!3m4!1s0x9981df4ca28bd7:0x3b810d331d494291!8m2!3d-22.912357!4d-43.1738686",0.0,0.0,0.0,30.58,-22.9122315,-43.1739865
0,ALMI11,Laje Corporativa,Edificio Torre Almirante,,16587.0,RJ,Rio de Janeiro,Av. Almirante Barroso 81,"https://www.google.com/maps/place/Av.+Alm.+Barroso,+81+-+Centro,+Rio+de+Janeiro+-+RJ,+20031-004/@-22.9074513,-43.1751185,3a,75y,334.71h,91.31t/data=!3m6!1e1!3m4!1sm32L2JqN2qH-m-krZuIzlw!2e0!7i13312!8i6656!4m5!3m4!1s0x997f600630e5ab:0xf71ef75c93432449!8m2!3d-22.9073165!4d-43.1752511",0.0,58.92,0.43,94.44,-22.9074513,-43.1751185
0,ALZR11,Outros,Air Liquide São Paulo/SP,,5008.0,SP,São Paulo,Av. Presidente Wilson 5.874,"https://www.google.com/maps/uv?hl=pt-BR&pb=!1s0x94ce5c7b4815db13:0x6a45b4a95a8c7c2c!3m1!7e115!4s/maps/place/Av.%2BPresidente%2BWilson%2B5.874,%2BS%25C3%25A3o%2BPaulo,%2BSP,%2B03107-002/@-23.6010135,-46.58417,3a,75y,222.45h,90t/data%3D*213m4*211e1*213m2*211sKRwIfWXpBah0pV29DFrWHA*212e0*214m2*213m1*211s0x94ce5c7b4815db13:0x6a45b4a95a8c7c2c?sa%3DX!5sAv.+Presidente+Wilson+5.874,+S%C3%A3o+Paulo,+SP,+03107-002+-+Pesquisa+Google&imagekey=!1e2!2sKRwIfWXpBah0pV29DFrWHA&sa=X&ved=2ahUKEwieppGavfLnAhVpG7kGHd6LC8MQpx8wEHoECAwQCw",0.0,0.0,0.0,6.33,-23.6010135,-46.58417
1,ALZR11,Laje Corporativa,Empreendimento Atento Del Castilho,31-01-2018T22:00:00,8178.0,RJ,Rio de Janeiro,"Av. Dom Hélder Câmara, 3203 ","https://www.google.com.br/maps/place/Meu+Trabalho/@-22.8787065,-43.2656701,3a,75y,188.48h,93.01t/data=!3m7!1e1!3m5!1sG97K40rlka0uwf5gCRHITg!2e0!6s%2F%2Fgeo1.ggpht.com%2Fcbk%3Fpanoid%3DG97K40rlka0uwf5gCRHITg%26output%3Dthumbnail%26cb_client%3Dsearch.TACTILE.gps%26thumb%3D2%26w%3D392%26h%3D106%26yaw%3D181.43306%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656!4m5!3m4!1s0x997c3dcb6c7e5d:0x383f6eca39734536!8m2!3d-22.8788706!4d-43.2656816",100.0,0.0,0.0,8.05,-22.8787065,-43.2656701
2,ALZR11,Laje Corporativa,Empreendimento Ed. Moderna,,9260.0,SP,São Paulo,Rua Padre Adelino 758,"https://www.google.com/maps/place/Rua+Padre+Adelino+758,+S%C3%A3o+Paulo,+SP,/@-23.5445553,-46.5866483,3a,75y,160.4h,90t/data=!3m4!1e1!3m2!1s7AH4hEPcRL9x69IGIwcx0g!2e0!4m2!3m1!1s0x94ce5ecedd94972f:0xfce641189aa5e6f?sa=X&ved=2ahUKEwjs5frgvovqAhV2IbkGHbNjDewQxB0wAHoECAwQAg",0.0,0.0,0.0,6.2,-23.5445553,-46.5866483
3,ALZR11,Laje Corporativa,Empreendimento Momentum,,4517.0,SP,São Paulo,Rua Arapore 655,"https://www.google.com/maps/place/Rua+Arapore+655,+S%C3%A3o+Paulo,+SP,/@-23.5802798,-46.704921,3a,75y,309.76h,90t/data=!3m4!1e1!3m2!1scvJtW_pBOyPw5T85B5wECA!2e0!4m2!3m1!1s0x94ce570376ac3d15:0x9363899f8e94b92a?sa=X&ved=2ahUKEwjDv_XIvovqAhXkHbkGHVanCO8QxB0wAHoECAsQAg",0.0,0.0,0.0,2.47,-23.5802798,-46.704921
4,ALZR11,Prédio Corporativo,Empreendimento Pandurata,,11832.59,SP,Guarulhos,"R. Fritz Reiman, 628",,0.0,0.0,0.0,6.85,-23.4822295,-46.5542959
5,ALZR11,Galpão,Galpão Aptiv,,18590.77,SP,Espírito Santo do Pinhal,"Rua Jose Monfardini 3845, Lote A",https://www.google.com/maps/uv?hl=pt-BR&pb=!1s0x94c9ad3a9208759b%3A0xaebc1599868cef0a!3m1!7e115!4shttps%3A%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipPFj6b_FYKq-eQqoQpw8s6cpnGWN9T9CCKWIWjh%3Dw284-h160-k-no!5sRua%20Jose%20Monfardini%203845%2C%20Esp%C3%ADrito%20Santo%20do%20Pinhal%2C%20SP%20-%20Pesquisa%20Google!15sCgIgAQ&imagekey=!1e10!2sAF1QipPFj6b_FYKq-eQqoQpw8s6cpnGWN9T9CCKWIWjh&sa=X&ved=2ahUKEwj2hJWywYvqAhWfILkGHXBWAJsQoiowCnoECBAQBg,0.0,0.0,0.0,5.14,,
