,Ticker,Datetime,Dividends,Close
0,AFHI11,2021-04,0.5,99.89
1,AFHI11,2021-05,0.6,91.3
2,AFHI11,2021-06,0.9,90.3
3,AFHI11,2021-07,0.9,93.58
4,AFHI11,2021-08,1.0,93.3
5,AFHI11,2021-09,1.05,92.29
6,AFHI11,2021-10,1.2,93.19
7,AFHI11,2021-11,1.25,96.1
8,AFHI11,2021-12,1.3,98.2
9,AFHI11,2022-01,1.3,100.97
10,AFHI11,2022-02,1.3,96.74
11,AFHI11,2022-03,1.35,100.0
12,AFHI11,2022-04,1.35,98.98
13,AFHI11,2022-05,1.4,103.7
14,AFHI11,2022-06,1.4,99.8
15,AFHI11,2022-07,1.3,98.5
16,AFHI11,2022-08,1.15,99.15
17,AFHI11,2022-09,1.0,97.0
18,AFHI11,2022-10,0.95,95.37
19,AFHI11,2022-11,0.96,94.34
20,AFHI11,2022-12,1.0,95.0
0,AIEC11,2020-10,0.54,98.25
1,AIEC11,2020-11,0.57,96.0
2,AIEC11,2020-12,0.57,94.95
3,AIEC11,2021-01,0.56,94.99
4,AIEC11,2021-02,0.57,93.0
5,AIEC11,2021-03,0.57,90.0
6,AIEC11,2021-04,0.57,91.0
7,AIEC11,2021-05,0.57,88.0
8,AIEC11,2021-06,0.57,82.17
9,AIEC11,2021-07,0.61,86.0
10,AIEC11,2021-07,0.61,86.0
11,AIEC11,2021-08,0.61,81.4
12,AIEC11,2021-09,0.61,81.0
13,AIEC11,2021-10,0.61,74.0
14,AIEC11,2021-11,0.61,68.81
15,AIEC11,2021-12,0.61,73.5
16,AIEC11,2022-01,0.61,77.7
17,AIEC11,2022-02,0.68,77.21
18,AIEC11,2022-03,1.31,81.03
19,AIEC11,2022-04,0.72,80.2
20,AIEC11,2022-05,0.72,80.3
21,AIEC11,2022-06,0.8,76.49
22,AIEC11,2022-07,0.72,74.5
23,AIEC11,2022-08,0.73,80.0
24,AIEC11,2022-09,0.73,79.07
25,AIEC11,2022-10,0.74,75.99
26,AIEC11,2022-11,0.75,70.8
27,AIEC11,2022-12,1.32,69.45
0,ALZR11,2020-02,0.59,120.7
1,ALZR11,2020-03,0.59,100.85
2,ALZR11,2020-04,0.6,108.27
3,ALZR11,2020-05,0.6,112.59
4,ALZR11,2020-06,0.62,130.04
5,ALZR11,2020-07,0.59,118.5
6,ALZR11,2020-08,0.57,134.7
7,ALZR11,2020-09,0.36,130.5
8,ALZR11,2020-10,0.37,125.94
9,ALZR11,2020-11,0.38,125.15
10,ALZR11,2020-12,0.39,128.7
11,ALZR11,2021-01,0.49,126.88
12,ALZR11,2021-02,0.59,126.11
13,ALZR11,2021-03,0.61,128.59
14,ALZR11,2021-04,0.68,128.59
15,ALZR11,2021-05,0.67,127.1
16,ALZR11,2021-06,0.62,117.2
17,ALZR11,2021-07,0.72,121.4
18,ALZR11,2021-08,0.67,116.57
19,ALZR11,2021-09,0.62,115.12
20,ALZR11,2021-10,0.64,110.8
21,ALZR11,2021-11,0.65,104.6
22,ALZR11,2021-12,0.75,113.83
23,ALZR11,2022-01,0.73,115.17
24,ALZR11,2022-02,0.76,111.7
25,ALZR11,2022-03,0.77,113.36
26,ALZR11,2022-04,0.78,116.04
27,ALZR11,2022-05,0.78,115.2
28,ALZR11,2022-06,0.78,116.5
29,ALZR11,2022-07,0.78,113.5
30,ALZR11,2022-08,5.65,117.48
31,ALZR11,2022-09,0.8,117.23
32,ALZR11,2022-10,0.78,118.17
33,ALZR11,2022-11,0.73,115.49
34,ALZR11,2022-12,0.78,111.01
0,ARCT11,2020-03,1.02,-1.0
1,ARCT11,2020-04,1.03,-1.0
2,ARCT11,2020-05,1.01,-1.0
3,ARCT11,2020-06,1.94,-1.0
4,ARCT11,2020-07,1.09,999.01
5,ARCT11,2020-08,2.0,1021.01
6,ARCT11,2020-09,1.09,1209.8
7,ARCT11,2020-10,1.24,1027.04
8,ARCT11,2020-11,2.91,1195.0
9,ARCT11,2020-12,0.88,1300.0
