Timestamp,ifix,selic,ipca,ipc-di,ipc-m,ipa-di,ipa-m,incc-di,incc-m,igp-10,igp-di,igp-m
2011-01,1005.64,10.67,0.83,1.27,1.08,0.96,0.76,0.41,0.37,0.49,0.98,0.79
2011-02,1000.48,11.16,0.8,0.49,0.67,1.23,1.2,0.28,0.39,1.03,0.96,1.0
2011-03,1028.25,11.17,0.79,0.71,0.62,0.6,0.65,0.43,0.44,0.84,0.61,0.62
2011-04,1046.39,11.67,0.77,0.95,0.78,0.24,0.29,1.06,0.75,0.56,0.5,0.45
2011-05,1040.6,11.92,0.47,0.51,0.9,-0.63,0.03,2.94,2.03,0.55,0.01,0.43
2011-06,1056.1,11.92,0.15,-0.18,-0.12,-0.19,-0.45,0.37,1.43,-0.22,-0.13,-0.18
2011-07,1084.51,12.17,0.16,-0.04,-0.13,-0.13,-0.22,0.45,0.59,-0.12,-0.05,-0.12
2011-08,1092.91,12.42,0.37,0.4,0.21,0.77,0.57,0.13,0.16,0.2,0.61,0.44
2011-09,1111.17,11.91,0.53,0.5,0.59,0.94,0.74,0.14,0.14,0.63,0.75,0.65
2011-10,1107.17,11.9,0.43,0.26,0.26,0.48,0.68,0.23,0.2,0.64,0.4,0.53
2011-11,1123.57,11.4,0.52,0.53,0.43,0.34,0.52,0.72,0.5,0.44,0.43,0.5
2011-12,1165.09,10.9,0.5,0.79,0.71,-0.55,-0.48,0.11,0.35,0.19,-0.16,-0.12
2012-01,1200.43,10.9,0.56,0.81,0.97,0.01,-0.07,0.89,0.67,0.08,0.3,0.25
2012-02,1256.23,10.4,0.45,0.24,0.27,-0.03,-0.26,0.3,0.42,0.04,0.07,-0.06
2012-03,1307.3,10.4,0.21,0.6,0.48,0.55,0.42,0.51,0.37,0.27,0.56,0.43
2012-04,1326.05,9.65,0.64,0.52,0.55,1.25,0.97,0.75,0.83,0.7,1.02,0.85
2012-05,1372.63,8.9,0.36,0.52,0.49,0.91,1.17,1.88,1.3,1.01,0.91,1.02
2012-06,1427.09,8.39,0.08,0.11,0.17,0.89,0.74,0.73,1.31,0.73,0.69,0.66
2012-07,1511.95,8.39,0.43,0.22,0.25,2.13,1.81,0.67,0.85,0.96,1.52,1.34
2012-08,1505.51,7.89,0.41,0.44,0.33,1.77,1.99,0.26,0.32,1.59,1.29,1.43
2012-09,1532.0,7.39,0.57,0.54,0.49,1.11,1.25,0.22,0.21,1.05,0.88,0.97
2012-10,1500.57,7.39,0.59,0.48,0.58,-0.68,-0.2,0.21,0.24,0.42,-0.31,0.02
2012-11,1506.52,7.14,0.6,0.45,0.33,0.16,-0.19,0.33,0.23,-0.28,0.25,-0.03
2012-12,1573.34,7.14,0.79,0.66,0.73,0.74,0.73,0.16,0.29,0.63,0.66,0.68
2013-01,1613.76,7.11,0.86,1.01,0.98,0.0,0.11,0.65,0.39,0.42,0.31,0.34
2013-02,1597.88,7.11,0.6,0.33,0.3,0.09,0.21,0.6,0.8,0.29,0.2,0.29
2013-03,1579.32,7.14,0.47,0.72,0.72,0.12,0.01,0.5,0.28,0.22,0.31,0.21
2013-04,1549.0,7.16,0.55,0.52,0.6,-0.39,-0.12,0.74,0.84,0.18,-0.06,0.15
2013-05,1549.36,7.4,0.37,0.32,0.33,0.01,-0.3,2.25,1.24,-0.09,0.32,0.0
2013-06,1437.76,7.9,0.26,0.35,0.39,0.85,0.68,1.15,1.96,0.63,0.76,0.75
2013-07,1427.11,7.9,0.03,-0.17,-0.07,0.2,0.3,0.48,0.73,0.43,0.14,0.26
2013-08,1375.07,8.4,0.24,0.2,0.09,0.58,0.14,0.31,0.31,0.15,0.46,0.15
2013-09,1400.93,8.9,0.35,0.3,0.27,1.9,2.11,0.43,0.43,1.05,1.36,1.5
2013-10,1423.1,8.9,0.57,0.55,0.43,0.71,1.09,0.26,0.33,1.11,0.63,0.86
2013-11,1411.67,9.4,0.54,0.68,0.65,0.12,0.17,0.35,0.27,0.44,0.28,0.29
2013-12,1374.7,9.9,0.92,0.69,0.69,0.78,0.63,0.1,0.22,0.44,0.69,0.6
2014-01,1282.04,9.9,0.55,0.99,0.87,0.12,0.31,0.88,0.7,0.58,0.4,0.48
2014-02,1330.42,10.4,0.69,0.66,0.7,1.0,0.27,0.33,0.44,0.3,0.85,0.38
2014-03,1336.07,10.65,0.92,0.85,0.82,1.91,2.2,0.28,0.22,1.29,1.48,1.67
2014-04,1350.76,10.65,0.67,0.77,0.82,0.27,0.79,0.88,0.67,1.19,0.45,0.78
2014-05,1369.25,10.9,0.46,0.52,0.68,-1.21,-0.65,2.05,1.37,0.13,-0.45,-0.13
2014-06,1387.63,10.9,0.4,0.33,0.34,-1.21,-1.44,0.66,1.25,-0.67,-0.63,-0.74
2014-07,1409.42,10.9,0.01,0.1,0.15,-1.01,-1.11,0.75,0.8,-0.56,-0.55,-0.61
2014-08,1413.1,10.9,0.25,0.12,0.02,0.04,-0.45,0.08,0.19,-0.55,0.06,-0.27
2014-09,1421.44,10.9,0.57,0.49,0.42,-0.18,0.13,0.15,0.16,0.31,0.02,0.2
2014-10,1402.46,10.9,0.42,0.43,0.46,0.73,0.23,0.17,0.2,0.02,0.59,0.28
2014-11,1361.51,11.15,0.51,0.65,0.53,1.44,1.26,0.44,0.3,0.82,1.14,0.98
2014-12,1336.72,11.15,0.78,0.75,0.76,0.3,0.63,0.08,0.25,0.98,0.38,0.62
2015-01,1372.06,11.65,1.24,1.73,1.35,0.23,0.56,0.92,0.7,0.42,0.67,0.76
2015-02,1369.42,12.15,1.22,0.97,1.14,0.41,-0.09,0.31,0.5,0.43,0.53,0.27
2015-03,1347.63,12.15,1.32,1.41,1.42,1.24,0.92,0.62,0.36,0.83,1.21,0.98
2015-04,1397.06,12.65,0.71,0.61,0.75,1.11,1.41,0.46,0.65,1.27,0.92,1.17
2015-05,1417.54,13.15,0.74,0.72,0.68,0.19,0.3,0.95,0.45,0.52,0.4,0.41
2015-06,1460.46,13.15,0.79,0.82,0.83,0.43,0.41,1.84,1.87,0.57,0.68,0.67
2015-07,1470.73,13.65,0.62,0.53,0.6,0.61,0.73,0.55,0.66,0.75,0.58,0.69
2015-08,1458.12,14.15,0.22,0.22,0.24,0.44,0.2,0.59,0.8,0.34,0.4,0.28
2015-09,1400.42,14.15,0.54,0.42,0.32,2.02,1.3,0.22,0.22,0.61,1.42,0.95
2015-10,1430.17,14.15,0.82,0.76,0.64,2.38,2.63,0.36,0.27,1.88,1.76,1.89
2015-11,1452.66,14.15,1.01,1.0,0.9,1.41,1.93,0.34,0.4,1.64,1.19,1.52
2015-12,1409.01,14.15,0.96,0.88,0.92,0.33,0.39,0.1,0.12,0.81,0.44,0.49
2016-01,1322.95,14.15,1.27,1.78,1.48,1.63,1.14,0.39,0.32,0.69,1.53,1.14
2016-02,1361.05,14.15,0.9,0.76,1.19,0.84,1.45,0.54,0.52,1.55,0.79,1.29
2016-03,1485.75,14.15,0.43,0.5,0.58,0.37,0.44,0.64,0.79,0.58,0.43,0.51
2016-04,1554.17,14.15,0.61,0.49,0.39,0.29,0.29,0.55,0.41,0.4,0.36,0.33
2016-05,1612.36,14.15,0.78,0.64,0.65,1.49,0.98,0.08,0.19,0.6,1.13,0.82
2016-06,1638.16,14.15,0.35,0.26,0.33,2.1,2.21,1.93,1.52,1.42,1.63,1.69
2016-07,1735.99,14.15,0.52,0.37,0.29,-0.81,-0.01,0.49,1.09,1.06,-0.39,0.18
2016-08,1767.11,14.15,0.44,0.32,0.4,0.5,0.04,0.29,0.26,-0.27,0.43,0.15
2016-09,1816.05,14.15,0.08,0.07,0.16,-0.03,0.18,0.33,0.37,0.36,0.03,0.2
2016-10,1885.92,14.15,0.26,0.34,0.17,0.04,0.15,0.21,0.17,0.12,0.13,0.16
2016-11,1837.13,13.9,0.18,0.17,0.26,-0.01,-0.16,0.16,0.17,0.06,0.05,-0.03
2016-12,1864.61,13.65,0.3,0.33,0.2,1.1,0.69,0.34,0.36,0.2,0.83,0.54
2017-01,1934.69,13.65,0.38,0.69,0.64,0.34,0.7,0.41,0.29,0.88,0.43,0.64
2017-02,2028.86,12.9,0.33,0.31,0.39,-0.12,-0.09,0.65,0.53,0.14,0.06,0.08
2017-03,2032.81,12.15,0.25,0.47,0.38,-0.78,-0.17,0.16,0.36,0.05,-0.38,0.01
2017-04,2035.85,12.15,0.14,0.12,0.33,-1.96,-1.77,-0.02,-0.08,-0.76,-1.24,-1.1
2017-05,2056.75,11.15,0.31,0.52,0.29,-1.1,-1.56,0.63,0.13,-1.1,-0.51,-0.93
2017-06,2074.14,10.15,-0.23,-0.32,-0.08,-1.53,-1.22,0.93,1.36,-0.62,-0.96,-0.67
2017-07,2066.19,10.15,0.24,0.38,0.04,-0.67,-1.16,0.3,0.22,-0.84,-0.3,-0.72
2017-08,2084.0,9.15,0.19,0.13,0.33,0.26,-0.05,0.36,0.4,-0.17,0.24,0.1
2017-09,2221.05,9.15,0.16,-0.02,-0.09,0.97,0.74,0.06,0.14,0.39,0.62,0.47
2017-10,2226.25,8.15,0.42,0.33,0.28,-0.03,0.16,0.31,0.19,0.49,0.1,0.2
2017-11,2213.08,7.4,0.28,0.36,0.28,1.06,0.66,0.31,0.28,0.24,0.8,0.52
2017-12,2226.46,7.4,0.44,0.21,0.3,1.07,1.24,0.07,0.14,0.9,0.74,0.89
2018-01,2285.23,6.9,0.29,0.69,0.56,0.58,0.91,0.31,0.28,0.79,0.58,0.76
2018-02,2311.41,6.9,0.32,0.17,0.28,0.15,-0.02,0.13,0.14,0.23,0.15,0.07
2018-03,2357.54,6.65,0.09,0.17,0.14,0.77,0.89,0.24,0.23,0.45,0.56,0.64
2018-04,2337.25,6.4,0.22,0.34,0.31,1.26,0.71,0.29,0.28,0.56,0.93,0.57
2018-05,2214.11,6.4,0.4,0.41,0.26,2.35,1.97,0.23,0.3,1.11,1.64,1.38
2018-06,2125.22,6.4,1.26,1.19,1.09,1.67,2.33,0.97,0.76,1.86,1.48,1.87
2018-07,2154.45,6.4,0.33,0.17,0.44,0.52,0.5,0.61,0.72,0.93,0.44,0.51
2018-08,2139.4,6.4,-0.09,0.07,0.05,0.99,1.0,0.15,0.3,0.51,0.68,0.7
2018-09,2134.81,6.4,0.48,0.45,0.28,2.54,2.19,0.23,0.17,1.2,1.79,1.52
2018-10,2242.45,6.4,0.45,0.48,0.51,0.17,1.1,0.35,0.33,1.43,0.26,0.89
2018-11,2300.48,6.4,-0.21,-0.17,0.09,-1.7,-0.81,0.13,0.26,-0.16,-1.14,-0.49
2018-12,2351.59,6.4,0.15,0.29,0.04,-0.82,-1.67,0.13,0.13,-1.23,-0.45,-1.08
2019-01,2409.69,6.4,0.32,0.57,0.58,-0.19,-0.26,0.49,0.4,-0.26,0.07,0.01
2019-02,2434.56,6.4,0.43,0.35,0.26,1.79,1.22,0.09,0.19,0.4,1.25,0.88
2019-03,2482.93,6.4,0.75,0.65,0.58,1.35,1.67,0.31,0.19,1.4,1.07,1.26
2019-04,2508.45,6.4,0.57,0.63,0.69,1.09,1.07,0.38,0.49,1.0,0.9,0.92
2019-05,2552.69,6.4,0.13,0.22,0.35,0.52,0.54,0.03,0.09,0.7,0.4,0.45
2019-06,2626.1,6.4,0.01,-0.02,-0.07,0.83,1.16,0.88,0.44,0.49,0.63,0.8
2019-07,2659.55,6.4,0.19,0.31,0.16,-0.22,0.4,0.58,0.91,0.61,-0.01,0.4
2019-08,2656.69,5.9,0.11,0.17,0.23,-0.9,-1.14,0.42,0.34,-0.47,-0.51,-0.67
2019-09,2684.26,5.9,-0.04,0.0,-0.04,0.68,-0.09,0.46,0.6,-0.29,0.5,-0.01
2019-10,2791.98,5.4,0.1,-0.09,-0.05,0.84,1.02,0.18,0.12,0.77,0.55,0.68
2019-11,2890.26,4.9,0.51,0.49,0.2,1.11,0.36,0.04,0.15,0.19,0.85,0.3
2019-12,3197.58,4.9,1.15,0.77,0.84,2.34,2.84,0.21,0.14,1.69,1.74,2.09
2020-01,3077.28,4.4,0.21,0.59,0.52,-0.13,0.5,0.38,0.26,1.07,0.09,0.48
2020-02,2963.81,4.4,0.25,-0.01,0.21,-0.03,-0.19,0.33,0.35,0.01,0.01,-0.04
2020-03,2494.1,4.15,0.07,0.34,0.12,2.33,1.76,0.26,0.38,0.64,1.64,1.24
2020-04,2603.62,3.65,-0.31,-0.18,0.13,0.11,1.12,0.22,0.18,1.13,0.05,0.8
2020-05,2657.68,3.65,-0.38,-0.54,-0.6,1.77,0.59,0.2,0.21,0.07,1.07,0.28
2020-06,2806.28,2.9,0.26,0.36,0.04,2.22,2.25,0.34,0.32,1.55,1.6,1.56
2020-07,2733.12,2.15,0.36,0.49,0.49,3.14,3.0,1.17,0.84,1.91,2.34,2.23
2020-08,2782.1,2.15,0.24,0.53,0.48,5.44,3.74,0.72,0.82,2.53,3.87,2.74
2020-09,2794.88,1.9,0.64,0.82,0.64,4.38,5.92,1.16,1.15,4.34,3.3,4.34
2020-10,2766.76,1.9,0.86,0.65,0.77,4.86,4.15,1.73,1.69,3.2,3.68,3.23
2020-11,2808.56,1.9,0.89,0.94,0.72,3.31,4.26,1.28,1.29,3.51,2.64,3.28
2020-12,2870.15,1.9,1.35,1.07,1.21,0.68,0.9,0.7,0.88,1.97,0.76,0.96
2021-01,2879.45,1.9,0.25,0.27,0.41,3.92,3.38,0.89,0.93,1.33,2.91,2.58
2021-02,2886.53,1.9,0.86,0.54,0.35,3.4,3.28,1.89,1.07,2.97,2.71,2.53
2021-03,2846.77,1.9,0.93,1.0,0.98,2.59,3.56,1.3,2.0,2.99,2.17,2.94
2021-04,2861.15,2.65,0.31,0.23,0.44,2.9,1.84,0.9,0.95,1.58,2.22,1.51
